Id,Sales
1,4654.55
2,7734.7
3,8779.15
4,6975.45
5,6865.15
6,6030.15
7,8532.6
8,8614.05
9,6095.35
10,6056.6
11,7501.4
12,8565.6
13,7221.8
14,9679.25
15,5696.4
16,5293.5
17,6024.45
18,9556.45
19,11800.05
20,10428.95
21,7574.9
22,5400.45
23,7106.1
24,5071.2
25,7897.15
26,10119.45
27,10301.25
28,6098.6
29,5297.7
30,4988.05
31,6868.75
32,11230.3
33,7370.55
34,5455.95
35,6547.15
36,7904.55
37,3720.05
38,7352.45
39,4449.5
40,8141.5
41,7878.3
42,5677.6
43,7821.5
44,7637.4
45,4689.6
46,6787.4
47,7737.6
48,12511.0
49,6017.1
50,8171.4
51,7217.65
52,9638.8
53,6176.1
54,9963.45
55,5830.85
56,5131.8
57,6527.55
58,5845.05
59,8017.95
60,7836.15
61,5881.7
62,7983.35
63,8252.7
64,10324.8
65,3956.3
66,14879.9
67,5153.7
68,6625.05
69,8898.15
70,5739.85
71,6348.15
72,6207.55
73,7380.2
74,5404.25
75,5943.5
76,8932.0
77,7501.6
78,7537.15
79,4972.45
80,7162.35
81,7558.25
82,6540.55
83,4803.2
84,7215.9
85,6228.35
86,7234.8
87,7645.75
88,4239.6
89,7888.7
90,6605.3
91,7809.35
92,7187.3
93,4183.9
94,5843.05
95,5682.0
96,8201.25
97,11193.4
98,5196.55
99,4812.75
100,8117.25
101,6441.45
102,7258.7
103,10092.55
104,7962.45
105,7950.75
106,6008.05
107,4456.2
108,7873.4
109,10066.65
110,9190.6
111,8429.4
112,7978.2
113,6371.4
114,8341.8
115,5624.1
116,8353.75
117,8841.95
118,7884.55
119,10707.2
120,7398.65
121,9058.75
122,6357.6
123,7411.2
124,8498.05
125,6451.05
126,4467.95
127,6090.4
128,7707.95
129,5570.4
130,5453.35
131,8880.8
132,7300.6
133,6592.35
134,6185.65
135,6070.0
136,7889.05
137,7978.3
138,8303.85
139,5472.95
140,5386.4
141,6573.75
142,4230.0
143,6124.7
144,4996.8
145,9011.7
146,7374.55
147,6913.05
148,6166.45
149,5386.3
150,5561.55
151,10565.25
152,7948.8
153,8227.0
154,7729.1
155,6401.85
156,6281.85
157,6387.65
158,8479.95
159,12071.9
160,6077.8
161,3285.85
162,5103.4
163,8222.15
164,8907.85
165,7410.75
166,7841.85
167,5448.55
168,6082.5
169,3276.7
170,5376.35
171,6082.9
172,6776.95
173,7237.95
174,7398.4
175,8142.45
176,9024.7
177,7715.05
178,6311.85
179,9373.0
180,11150.85
181,6823.25
182,8034.0
183,5177.95
184,6302.3
185,4749.25
186,8339.55
187,5640.6
188,10155.35
189,7297.35
190,8555.55
191,8321.85
192,5559.7
193,8875.0
194,18610.45
195,10569.8
196,5857.15
197,2850.45
198,6227.6
199,10339.3
200,6351.4
201,12802.1
202,17897.65
203,4022.25
204,5555.85
205,11089.3
206,5405.85
207,10000.85
208,7189.7
209,7796.3
210,4066.55
211,8014.75
212,6979.25
213,7819.7
214,7611.6
215,6761.85
216,6221.95
217,7624.45
218,6145.65
219,5319.45
220,9029.3
221,6749.95
222,6317.5
223,7870.55
224,6297.1
225,5769.8
226,7076.25
227,6901.55
228,11078.95
229,6898.75
230,8168.65
231,6281.7
232,4058.75
233,9337.9
234,7248.4
235,5636.9
236,4658.3
237,9075.55
238,7764.85
239,9122.6
240,6927.65
241,5890.1
